AFTER,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,10.8000001907349,5.02386986764271,9.41680788971887,19.3074651553746,0.530966818332672,0.393365559666875,2.7398726940155,2.68664922831552,0.924139678478241,0.690449572271299,1.54379463195801,1.6672893224983,75.3739401196677,32.3626115556747,62.3423979320223,42.269988541376,67.584534236363,,,,,,,,,,
,10.8000001907349,4.95696346836998,9.65093494800538,18.0670522837565,0.530966818332672,0.528319752361566,2.7398726940155,3.45179852132762,0.924139678478241,0.623885311847643,1.54379463195801,1.66147062682632,83.0889732118637,26.9110282746572,48.2223301660447,20.8528011670188,89.1463577028305,,,,,,,,,,
,10.8000001907349,4.96099837917212,10.1541907859569,17.3793275453481,0.530966818332672,0.440932316045928,2.7398726940155,3.21490009698847,0.924139678478241,0.557690147842817,1.54379463195801,1.98393268341101,93.9996265478089,15.9151410631989,32.3179006531053,22.8788029256799,87.0698959035222,,,,,,,,,,
,10.8000001907349,4.82357280670841,10.6587500084805,17.138765855062,0.530966818332672,0.536313237185953,2.7398726940155,3.18608558226992,0.924139678478241,0.581398906946373,1.54379463195801,1.91837238322991,89.9735616973684,19.9995159197457,38.7518238810044,24.8593174098413,85.1137609481812,,,,,,,,,,
,10.8000001907349,4.99449205367429,9.35460510903102,16.1493423842625,0.530966818332672,0.427362873081804,2.7398726940155,4.33958812755008,0.924139678478241,0.485024146971052,1.54379463195801,2.20265737173664,95.1241138604037,14.8645235338029,33.1768810339035,16.5001183573607,93.422410053812,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-009,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.3000001907349,5.26117346759709,10.2701440683637,20.4101555423455,0.863782348589889,0.882387918843574,14.5469463866588,12.0699965564553,0.104226791892817,0.0769347756489528,14.2754045679995,11.6857017591386,65.6271295996861,26.9162661301112,31.6686896478943,49.8568674323863,59.4993132346588,,,,,,,,,,
,10.3000001907349,5.39585507781187,10.2806775259895,20.1949723651121,0.921066343784332,0.932538776717082,15.5116653442383,13.0334554741825,0.111138865351677,0.084686303207657,15.2221155166626,12.5308835142755,66.9205217889543,17.1585405967911,16.8160629225864,50.8370272732713,58.2527364488533,,,,,,,,,,
