BEFORE,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,9.5,4.75683061825073,7.86139034726542,16.323282302241,1.33936989307404,0.907119485969989,9.7415189743042,8.90257378789684,1.81870424747467,0.547919610594075,0.549890398979187,2.82688434506519,81.7505729798348,25.594221638095,28.873649080338,20.9316469838542,83.7036505237702,,,,,,,,,,
,9.5,4.7162240014912,7.62021105904086,15.5986493592756,1.33936989307404,1.26401411615845,9.7415189743042,9.0713510817715,1.81870424747467,1.27410922591563,0.549890398979187,1.51778134709828,53.6709156593719,55.1901533201143,66.0647303407843,12.2657724538453,45.1921449574557,,,,,,,,,,
,9.5,5.0931103540473,8.01187826769694,16.3391444328541,1.33936989307404,1.10513542923061,9.7415189743042,8.34812027879736,1.81870424747467,0.809274623546177,0.549890398979187,2.728805096043,53.1787982606269,56.2267672551143,70.6818384566864,39.0871885968493,45.3380460553355,,,,,,,,,,
,9.5,5.11403240112514,8.58695295316061,16.9847693948621,1.33936989307404,0.793952509057411,9.7415189743042,4.52822614878222,1.81870424747467,0.592197316940398,0.549890398979187,2.21881488000513,56.8012442526879,33.1795638226844,49.0059917623347,58.9225234428009,45.3190752252356,,,,,,,,,,
,9.5,4.74138757807422,7.81777358875217,16.5225373465384,1.33936989307404,0.97594409697268,9.7415189743042,7.25758003769752,1.81870424747467,0.996797296533229,0.549890398979187,1.94897144164732,55.4817102662127,50.1979706605793,61.1493601162193,45.8202526173297,44.5951263850209,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-012,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0,5.57984789121497,7.47832845782773,16.2010712336722,0.134624771050458,0.139715849580936,25.9849332513161,25.8930388888263,0.030640806677272,0.0323751316029086,25.764267467758,25.6681721346588,21.8944142833216,23.0979604495245,21.2850516202888,77.9216536641772,21.8944142833216,,,,,,,,,,
,9.0,4.99817235966039,7.60063738453099,16.5475252241274,0.151544824242592,0.405004903944284,29.2507991790771,22.8428552798992,0.0344918370246887,0.162802705309619,29.0023994445801,21.557623590392,21.892143823267,20.9148581559096,22.8638218949481,76.3639905852031,21.892143823267,,,,,,,,,,
